 PREM anisotropic @ 35 mhz                                                        ref per = -28.6 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
   117   1160000.0    12795.50    11024.68    11024.68     3475.96     3475.96     1.00000       84.60     1327.70
   118   1170000.0    12790.43    11021.05    11021.05     3473.44     3473.44     1.00000       84.60     1327.70
   119   1180000.0    12785.32    11017.40    11017.40     3470.89     3470.89     1.00000       84.60     1327.70
   120   1190000.0    12780.15    11013.70    11013.70     3468.32     3468.32     1.00000       84.60     1327.70
   121   1200000.0    12774.95    11009.97    11009.97     3465.75     3465.75     1.00000       84.60     1327.70
   122   1210000.0    12769.70    11006.23    11006.23     3463.14     3463.14     1.00000       84.60     1327.70
   123   1220000.0    12764.41    11002.44    11002.44     3460.50     3460.50     1.00000       84.60     1327.70
   124   1221500.0    12763.61    11001.86    11001.86     3460.11     3460.11     1.00000       84.60     1327.70
   125   1221500.0    12166.33    10355.53    10355.53        0.00        0.00     1.00000   999999.00    57823.00
   126   1230000.0    12161.96    10350.60    10350.60        0.00        0.00     1.00000   999999.00    57823.00
   127   1240000.0    12156.78    10344.78    10344.78        0.00        0.00     1.00000   999999.00    57823.00
   128   1250000.0    12151.57    10338.95    10338.95        0.00        0.00     1.00000   999999.00    57823.00
   129   1260000.0    12146.32    10333.10    10333.10        0.00        0.00     1.00000   999999.00    57823.00
   130   1270000.0    12141.04    10327.24    10327.24        0.00        0.00     1.00000   999999.00    57823.00
   131   1280000.0    12135.72    10321.36    10321.36        0.00        0.00     1.00000   999999.00    57823.00
   132   1290000.0    12130.38    10315.47    10315.47        0.00        0.00     1.00000   999999.00    57823.00
   133   1300000.0    12124.99    10309.56    10309.56        0.00        0.00     1.00000   999999.00    57823.00
   134   1310000.0    12119.57    10303.63    10303.63        0.00        0.00     1.00000   999999.00    57823.00
   135   1320000.0    12114.12    10297.68    10297.68        0.00        0.00     1.00000   999999.00    57823.00
   136   1330000.0    12108.63    10291.72    10291.72        0.00        0.00     1.00000   999999.00    57823.00
   137   1340000.0    12103.11    10285.74    10285.74        0.00        0.00     1.00000   999999.00    57823.00
   138   1350000.0    12097.55    10279.73    10279.73        0.00        0.00     1.00000   999999.00    57823.00
   139   1360000.0    12091.96    10273.72    10273.72        0.00        0.00     1.00000   999999.00    57823.00
   140   1370000.0    12086.33    10267.68    10267.68        0.00        0.00     1.00000   999999.00    57823.00
   141   1380000.0    12080.67    10261.62    10261.62        0.00        0.00     1.00000   999999.00    57823.00
   142   1390000.0    12074.97    10255.54    10255.54        0.00        0.00     1.00000   999999.00    57823.00
   143   1400000.0    12069.23    10249.44    10249.44        0.00        0.00     1.00000   999999.00    57823.00
   144   1410000.0    12063.46    10243.32    10243.32        0.00        0.00     1.00000   999999.00    57823.00
   145   1420000.0    12057.65    10237.18    10237.18        0.00        0.00     1.00000   999999.00    57823.00
   146   1430000.0    12051.81    10231.02    10231.02        0.00        0.00     1.00000   999999.00    57823.00
   147   1440000.0    12045.93    10224.84    10224.84        0.00        0.00     1.00000   999999.00    57823.00
   148   1450000.0    12040.01    10218.63    10218.63        0.00        0.00     1.00000   999999.00    57823.00
   149   1460000.0    12034.06    10212.41    10212.41        0.00        0.00     1.00000   999999.00    57823.00
   150   1470000.0    12028.07    10206.16    10206.16        0.00        0.00     1.00000   999999.00    57823.00
   151   1480000.0    12022.04    10199.89    10199.89        0.00        0.00     1.00000   999999.00    57823.00
   152   1490000.0    12015.98    10193.60    10193.60        0.00        0.00     1.00000   999999.00    57823.00
   153   1500000.0    12009.88    10187.28    10187.28        0.00        0.00     1.00000   999999.00    57823.00
   154   1510000.0    12003.74    10180.94    10180.94        0.00        0.00     1.00000   999999.00    57823.00
   155   1520000.0    11997.57    10174.57    10174.57        0.00        0.00     1.00000   999999.00    57823.00
   156   1530000.0    11991.36    10168.18    10168.18        0.00        0.00     1.00000   999999.00    57823.00
   157   1540000.0    11985.11    10161.77    10161.77        0.00        0.00     1.00000   999999.00    57823.00
   158   1550000.0    11978.82    10155.33    10155.33        0.00        0.00     1.00000   999999.00    57823.00
   159   1560000.0    11972.49    10148.87    10148.87        0.00        0.00     1.00000   999999.00    57823.00
   160   1570000.0    11966.13    10142.38    10142.38        0.00        0.00     1.00000   999999.00    57823.00
   161   1580000.0    11959.73    10135.87    10135.87        0.00        0.00     1.00000   999999.00    57823.00
   162   1590000.0    11953.29    10129.33    10129.33        0.00        0.00     1.00000   999999.00    57823.00
   163   1600000.0    11946.81    10122.76    10122.76        0.00        0.00     1.00000   999999.00    57823.00
   164   1610000.0    11940.29    10116.17    10116.17        0.00        0.00     1.00000   999999.00    57823.00
   165   1620000.0    11933.74    10109.54    10109.54        0.00        0.00     1.00000   999999.00    57823.00
   166   1630000.0    11927.15    10102.90    10102.90        0.00        0.00     1.00000   999999.00    57823.00
   167   1640000.0    11920.51    10096.22    10096.22        0.00        0.00     1.00000   999999.00    57823.00
   168   1650000.0    11913.84    10089.52    10089.52        0.00        0.00     1.00000   999999.00    57823.00
   169   1660000.0    11907.13    10082.78    10082.78        0.00        0.00     1.00000   999999.00    57823.00
   170   1670000.0    11900.38    10076.02    10076.02        0.00        0.00     1.00000   999999.00    57823.00
   171   1680000.0    11893.59    10069.23    10069.23        0.00        0.00     1.00000   999999.00    57823.00
   172   1690000.0    11886.76    10062.42    10062.42        0.00        0.00     1.00000   999999.00    57823.00
   173   1700000.0    11879.89    10055.57    10055.57        0.00        0.00     1.00000   999999.00    57823.00
   174   1710000.0    11872.99    10048.69    10048.69        0.00        0.00     1.00000   999999.00    57823.00
   175   1720000.0    11866.04    10041.78    10041.78        0.00        0.00     1.00000   999999.00    57823.00
   176   1730000.0    11859.05    10034.84    10034.84        0.00        0.00     1.00000   999999.00    57823.00
   177   1740000.0    11852.02    10027.87    10027.87        0.00        0.00     1.00000   999999.00    57823.00
   178   1750000.0    11844.95    10020.87    10020.87        0.00        0.00     1.00000   999999.00    57823.00
   179   1760000.0    11837.84    10013.85    10013.85        0.00        0.00     1.00000   999999.00    57823.00
   180   1770000.0    11830.69    10006.78    10006.78        0.00        0.00     1.00000   999999.00    57823.00
   181   1780000.0    11823.50     9999.69     9999.69        0.00        0.00     1.00000   999999.00    57823.00
   182   1790000.0    11816.27     9992.56     9992.56        0.00        0.00     1.00000   999999.00    57823.00
   183   1800000.0    11809.00     9985.40     9985.40        0.00        0.00     1.00000   999999.00    57823.00
   184   1810000.0    11801.69     9978.20     9978.20        0.00        0.00     1.00000   999999.00    57823.00
   185   1820000.0    11794.33     9970.98     9970.98        0.00        0.00     1.00000   999999.00    57823.00
   186   1830000.0    11786.94     9963.71     9963.71        0.00        0.00     1.00000   999999.00    57823.00
   187   1840000.0    11779.50     9956.42     9956.42        0.00        0.00     1.00000   999999.00    57823.00
   188   1850000.0    11772.02     9949.09     9949.09        0.00        0.00     1.00000   999999.00    57823.00
   189   1860000.0    11764.50     9941.73     9941.73        0.00        0.00     1.00000   999999.00    57823.00
   190   1870000.0    11756.94     9934.33     9934.33        0.00        0.00     1.00000   999999.00    57823.00
   191   1880000.0    11749.34     9926.89     9926.89        0.00        0.00     1.00000   999999.00    57823.00
   192   1890000.0    11741.69     9919.42     9919.42        0.00        0.00     1.00000   999999.00    57823.00
   193   1900000.0    11734.01     9911.92     9911.92        0.00        0.00     1.00000   999999.00    57823.00
   194   1910000.0    11726.28     9904.37     9904.37        0.00        0.00     1.00000   999999.00    57823.00
   195   1920000.0    11718.50     9896.80     9896.80        0.00        0.00     1.00000   999999.00    57823.00
   196   1930000.0    11710.69     9889.18     9889.18        0.00        0.00     1.00000   999999.00    57823.00
   197   1940000.0    11702.83     9881.53     9881.53        0.00        0.00     1.00000   999999.00    57823.00
   198   1950000.0    11694.93     9873.84     9873.84        0.00        0.00     1.00000   999999.00    57823.00
   199   1960000.0    11686.99     9866.11     9866.11        0.00        0.00     1.00000   999999.00    57823.00
   200   1970000.0    11679.00     9858.34     9858.34        0.00        0.00     1.00000   999999.00    57823.00
   201   1980000.0    11670.97     9850.54     9850.54        0.00        0.00     1.00000   999999.00    57823.00
