MFT96 R U -1    75.00000    2.57942    0.10882 4585.65430     89.6 0.5101E-04    1.000000  -10.000000    1.000000   31.200001 0  7   33.90       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    3.01625    0.14880 4585.65430     89.6 0.4552E-04    1.000000  -10.000000    1.000000   31.200001 0  8   27.66       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    2.03953    0.06803 4585.65430     89.6 0.3073E-04    1.000000  -10.000000    1.000000   31.200001 0  9  -1.000       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    2.77975    0.12638 4585.65430     89.6 0.1095E-04    1.000000  -10.000000    1.000000   31.200001 0 10   12.95       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    4.42727    0.29921 4585.65430     89.6 0.3950E-01    1.000000  -10.000000    1.000000   31.200001 0  1   70.25       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    2.51447    0.09651 4585.65430     89.6 0.3113E-03    1.000000  -10.000000    1.000000   31.200001 0  2   68.36       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    2.97636    0.13523 4585.65430     89.6 0.2723E-03    1.000000  -10.000000    1.000000   31.200001 0  3   70.38       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    2.22265    0.07541 4585.65430     89.6 0.2672E-03    1.000000  -10.000000    1.000000   31.200001 0  4   71.57       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    2.74209    0.11478 4585.65430     89.6 0.1752E-03    1.000000  -10.000000    1.000000   31.200001 0  5   69.46       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    2.05987    0.06477 4585.65430     89.6 0.1348E-03    1.000000  -10.000000    1.000000   31.200001 0  6   69.25       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    2.35168    0.08442 4585.65430     89.6 0.1209E-03    1.000000  -10.000000    1.000000   31.200001 0  7   72.26       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    3.10586    0.14725 4585.65430     89.6 0.3346E-04    1.000000  -10.000000    1.000000   31.200001 0  8  -1.000       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    2.12105    0.06867 4585.65430     89.6 0.1390E-04    1.000000  -10.000000    1.000000   31.200001 0  9  -1.000       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    70.00000    2.84061    0.12317 4585.65430     89.6 0.1004E-04    1.000000  -10.000000    1.000000   31.200001 0 10   10.64       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    65.00000    4.42223    0.27720 4585.65430     89.6 0.3892E-01    1.000000  -10.000000    1.000000   31.200001 0  1   65.05       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    65.00000    2.29058    0.07437 4585.65430     89.6 0.3373E-03    1.000000  -10.000000    1.000000   31.200001 0  2   66.43       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    65.00000    3.04698    0.13160 4585.65430     89.6 0.2674E-03    1.000000  -10.000000    1.000000   31.200001 0  3   65.02       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    65.00000    2.59416    0.09539 4585.65430     89.6 0.2341E-03    1.000000  -10.000000    1.000000   31.200001 0  4   65.03       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    65.00000    2.81015    0.11194 4585.65430     89.6 0.2164E-03    1.000000  -10.000000    1.000000   31.200001 0  5   66.31       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    65.00000    2.01748    0.05769 4585.65430     89.6 0.1104E-03    1.000000  -10.000000    1.000000   31.200001 0  6   66.70       50.27     COMMENT: AEAA    -12345   2000   0  0  0
